项目,分项,日期,单位,数量,单价,合计,供应商,备注
金星路工程,钢筋,2026/01/02,kg,1200,4.2,5040,华东钢材,—
金星路工程,钢筋,2026-1-2,KG,1200,4.2,5040,华东钢材,重复行（日期格式不同）
金星路工程,商品混凝土,C2026-01-03,m3,35,480,16800,XX商砼,日期格式错误（多了C）
金星路工程,模板,2026-01-04,m²,260,18,4680,木方供应,单位不统一（m²）
金星路工程,模板,2026-01-04,m2,260,18,4680,木方供应,重复行（单位写法不同）
金星路工程,砂浆,2026-01-05,m3,10,,0,XX材料,缺少单价
金星路工程,钢筋,2026-01-06,kg,850,4.2,,华东钢材,缺少合计
金星路工程,脚手架,2026-01-07,项,1,3500,3500,,缺少供应商
金星路工程,水泥,2026-01-08,t,12,420,5040,XX材料,—
金星路工程,碎石,2026-01-09,吨,18,95,1710,XX材料,单位中文（吨）
金星路工程,砂,2026-01-10,t,20,80,1600,XX材料,—
